nome,indirizzo,CAP,comune,provincia,lat_comune,lon_comune
Golf della Montecchia,Via Montecchia 12,35030,Selvazzano Dentro,PD,45.3945,11.781
Golfino del Monzeglio,Via Mongini 919,21027,Ispra,VA,45.8162,8.6103
Green Club Lainate,Via Manzoni 45,20045,Lainate,MI,45.5715,9.0271
Gressoney,Via Villa Margherita 1,11025,Gressoney-Saint-Jean,AO,45.777,7.8276
Gubbio,Via Linosa 12,06024,Gubbio,PG,43.3535,12.5788
Harbour Club Milano,Via Cascina Bellaria 19,20153,Milano,MI,45.4668,9.1903
Hermitage,Località Biodola 1,57037,Portoferraio,LI,42.8153,10.3312
Idea Verde Golf Club,Via San Francesco 17,21057,Olgiate Olona,VA,45.6278,8.8908
Imola Zolino,Via Maria Zanotti 22,40026,Imola,BO,44.3531,11.7142
Is Arenas,Loc. Pineta Is Arenas,09070,Narbolia,OR,40.0477,8.575
Is Molas,Località Is Molas,09010,Pula,CA,39.0107,9.0008
Kavallotta Golf Academy,Via Case Sparse Santa Rita 6,28100,Novara,NO,45.4459,8.6219
La Castelluccia,Via G. A. Provana snc,00123,Roma,RM,41.8928,12.4837
La Colombera Golf Resort,Via Barussa 1,25030,Castrezzato,BS,45.5111,9.9767
La Pinetina Golf Club,Via al Golf 4 - Loc. La Pinetina,22070,Carbonate,CO,45.6851,8.9404
Lamborghini,Località Soderi 1,06064,Panicale,PG,43.0294,12.1006
Lana,Brandisweg 13,39011,Lana,BZ,46.6161,11.1453
Lauri,C.da San Giovanni 2,63062,Montefiore dell'Aso,AP,43.0516,13.7509
Limone,Frazione San Bernardo,12015,Limone Piemonte,CN,44.2013,7.5761
Livorno,Largo Christian Bartoli 7,57128,Livorno,LI,43.5523,10.3087
Madonna di Campiglio,Via Cima Tosa 15,38095,Tre Ville,TN,46.0545,10.7783
Mandria,Via A. De Gasperi snc,10040,Druento,TO,45.1347,7.5762
Mantova Golf Club,Via Colombina 60,46010,Curtatone,MN,45.1338,10.7163
Marco Polo,Via Luigino De Nadai 30,31029,Vittorio Veneto,TV,45.9899,12.2961
Marco Simone Golf & CC,Via di Marco Simone 84/88,00012,Guidonia Montecelio,RM,42.0001,12.7264
Mare di Roma,Via Enna 30,00040,Ardea,RM,41.6093,12.5454
Margherita,S.P. 134 Carmagnola-Pralormo 3,10046,Poirino,TO,44.9212,7.8436
Marina Velka,Via Olimpia snc,01016,Tarquinia,VT,42.2545,11.7582
Metaponto Golf Club,Contrada Pizzica,75010,Bernalda,MT,40.4082,16.6864
Mia,Via Clementina 12/A,60033,Camerata Picena,AN,43.5782,13.3528
Miglianico Golf & Country Club,Contrada Cerreto 120,66010,Miglianico,CH,42.3595,14.2915
Miniere,Località Valle del Pero 10/C,52022,Cavriglia,AR,43.5237,11.4891
Mirabella Golf Club,Contrada Corpo di Cristo,83036,Mirabella Eclano,AV,41.0414,14.9922
Modena Golf & Country Club,Via Castelnuovo Rangone 4,41043,Formigine,MO,44.576,10.8402
Molinetto Country Club,Strada Padana Superiore 1,20063,Cernusco sul Naviglio,MI,45.5242,9.335
Molino Pero,Via Molino del Pero 323,40036,Monzuno,BO,44.2768,11.2714
Moncalieri,Strada Vallere 20,10024,Moncalieri,TO,45.0009,7.6852
Monferrato,Strada Vialarda 3/F - Regione Torcello,15033,Casale Monferrato,AL,45.135,8.4526
Montebelluna,Via Carpen 24,31044,Montebelluna,TV,45.7761,12.0451
Montecatini Terme,Via dei Brogi 1652 - Loc. Pievaccia,51015,Monsummano Terme,PT,43.8716,10.8144
Montegiove,Strada Comunale di Montegiove snc,61032,Fano,PU,43.8434,13.0197
Montelupo,Via Fibbiana 4,50056,Montelupo Fiorentino,FI,43.7295,11.0208
Monteveglio,Via Barlete 52,40053,Valsamoggia,BO,44.5031,11.0804
Mora Bianca,"S.P. 2 km 1,500",09032,Assemini,CA,39.2896,9.0062
Mulino Cerrione,Via Libertà 37,13882,Cerrione,BI,45.4809,8.074
Musella,Via Verdi - Loc. Musella,37036,San Martino Buon Albergo,VR,45.4221,11.0931
Nazionale,"Via Cassia km 44,500",01015,Sutri,VT,42.242,12.2248
Nogherazza,Via Gresane 78,32100,Belluno,BL,46.1384,12.217
Noghere,Via Valentini 5,31025,Santa Lucia di Piave,TV,45.8492,12.2843
Oasi di Magliano-Fiordalisi,Via Maglianella 11/B,47121,Forlì,FC,44.2227,12.0407
Olgiata Golf Club,Largo Olgiata 15,00123,Roma,RM,41.8928,12.4837
Orti Golf Club,Via Municipio 32 - Loc. Ortì,89126,Reggio di Calabria,RC,38.1092,15.6435
Padova,Via Noiera 57 - Valsanzibio,35030,Galzignano Terme,PD,45.3086,11.7283
Palermo,Piazza Leoni 9,90143,Palermo,PA,38.1157,13.3624
Panorama Golf,Via Belmonte 169,21100,Varese,VA,45.817,8.8229
Paolillo Golf Players,Via Garziere 61,36014,Santorso,VI,45.7377,11.3887
Paradiso,Via Coppo 2/B,37014,Peschiera del Garda,VR,45.4391,10.6919
Parco Firenze,Via dell'Isolotto 10,50142,Firenze,FI,43.7692,11.2559
Parco de' Medici Golf Club,Viale Salvatore Rebecchini 37,00148,Roma,RM,41.8928,12.4837
Parco di Roma,Via dei Due Ponti 110,00189,Roma,RM,41.8928,12.4837
Passiria Merano,Via Kellerlahne 3,39015,San Leonardo in Passiria,BZ,46.8117,11.2433
Passo Monte Croce,Via S. Giuseppe 55,39030,Sesto,BZ,46.7021,12.3503
Pavoniere,Via Traversa il Crocifisso 13/50,59100,Prato,PO,43.8806,11.097
Perugia,Loc. S. Sabina snc,06132,Perugia,PG,43.1068,12.3882
Pevero,Via del Golf 20,07021,Arzachena,SS,41.0794,9.3885
Pian Colle,Loc. Pian del Colle,10052,Bardonecchia,TO,45.0782,6.7038
Pinerolo - Pragelato,Via Rohrbach 5 - Frazione Plan,10060,Pragelato,TO,45.0163,6.9423
Poggio dei Medici,Via San Gavino 27,50038,Scarperia e San Piero,FI,43.996,11.356
Poiano Garda,Via Fioria 7,37010,Costermano sul Garda,VR,45.5866,10.7385
Poli Golf,Strada Morane 361,41125,Modena,MO,44.646,10.9262
Ponte Cervo,Via Bora snc,13900,Biella,BI,45.5665,8.0541
Prato Nevoso,Via Corona Boreale 1,12083,Frabosa Sottana,CN,44.302,7.7983
Primule,Strada Prov. 90 per Rondissone,10035,Mazzè,TO,45.2985,7.937
Puntaldia,Loc. Punta Sabbatino snc,07052,San Teodoro,SS,40.7712,9.6719
Pustertal,Im Gelaende 15,39031,Brunico,BZ,46.7974,11.9373
Quarrata,Via O. Ceccarelli 375 - Loc. Barba,51039,Quarrata,PT,43.8476,10.9786
Quellenhof,Via Passiria 47,39010,San Martino in Passiria,BZ,46.7826,11.227
Rendena,Loc. Ischia 1,38080,Bocenago,TN,46.1184,10.7591
Rieti,Via Tavola d'Argento snc,02100,Rieti,RI,42.4049,12.8621
Rimini Verucchio,Via Molino Bianco 109,47826,Verucchio,RN,43.9837,12.4214
Riva Toscana,SP 152 Aurelia Vecchia km 47,58022,Follonica,GR,42.9226,10.7599
Riviera Golf,Via Conca Nuova 1236,47842,San Giovanni in Marignano,RN,43.939,12.7125
Romita,Via della Romita 11,05100,Terni,TR,42.5607,12.6467
Roncegno,Via Ferme snc,38050,Roncegno Terme,TN,46.051,11.4097
Rovereto,Viale Caproni 44,38068,Rovereto,TN,45.8865,11.0452
Rovigo,Via Cappello 12,45100,Rovigo,RO,45.0711,11.7901
Royal Golf La Bagnaia,SS 223 Siena-Grosseto km 56 - Loc. Bagnaia,53016,Murlo,SI,43.1685,11.3911
Royal Park I Roveri,Rotta Cerbiatta 24,10070,Fiano,TO,45.2181,7.5198
Royal Park Roveri,Rotta Cerbiatta 24,10070,Fiano,TO,45.2181,7.5198
Rudis,Contr. Trifana - Vecchia Casarano-Taviano,73040,Melissano,LE,39.9735,18.1236
Salice Terme Golf e Country,Via Diviani 8,27055,Rivanazzano Terme,PV,44.9305,9.0164
Salici 2.0,Strada del Nascimben 1/B,31100,Treviso,TV,45.6675,12.2451
Salsomaggiore Terme,Località Case Carancini 105/A,43039,Salsomaggiore Terme,PR,44.8157,9.9781
Saluzzo,Via Morra 12-14,12037,Saluzzo,CN,44.647,7.4908
San Domenico - Egnazia,Frazione Savelletri - Strada Comunale Egnazia,72015,Fasano,BR,40.8344,17.359
San Donato Golf,P.zza della Chiesa snc - Loc. Santi,67100,L'Aquila,AQ,42.3512,13.3984
San Giovanni,Strada Piane 4,10010,Torre Canavese,TO,45.3918,7.7605
San Marino,Str. Quinta Gualdaria - Loc. Ca' Montanaro,47893,Rimini,RN,44.0609,12.5656
San Martino,Via Poggino 15 - Loc. San Martino,56038,Ponsacco,PI,43.6202,10.6336
San Michele Golf Club,Località Bosco 8/9,87022,Cetraro,CS,39.5162,15.943
San Valentino,Via Telarolo 12,42014,Castellarano,RE,44.5096,10.7306
Santa Maria Maggiore,Via Pineta,28857,Santa Maria Maggiore,VB,46.1351,8.4669
Santo Stefano Golf,Via Vettigano 26,42012,Campagnola Emilia,RE,44.8413,10.7592
Sassari,Via Rockefeller 59,07100,Sassari,SS,40.7267,8.5597
Saturnia,S.P. della Follonata - Fraz. Saturnia,58014,Manciano,GR,42.5873,11.5155
Savigliano,Via Solerette 11,12038,Savigliano,CN,44.648,7.6575
Serra,Strada Astigliano 42,15048,Valenza,AL,45.0145,8.6462
Sestrieres,Piazza Agnelli 4,10058,Sestriere,TO,44.9576,6.8766
Settimo,Strada Cebrosa 166,10036,Settimo Torinese,TO,45.137,7.7712
Sibilla,Via San Marco 30,62014,Petriolo,MC,43.221,13.4656
Sicilia's Picciolo,SS 120 km 200,95012,Castiglione di Sicilia,CT,37.8827,15.1224
Siepelunga,Via Siepelunga 56/4,40141,Bologna,BO,44.4944,11.3417
Sinis,Viale Repubblica snc,09170,Oristano,OR,39.9038,8.5912
